Document No.,Sell-to Customer No.,Sell-to Customer Name,No.,Description,Posting Date,Quantity,Unit Price Excl. Tax,Amount
PS-INV173271,10719-6,US Foods - Alcoa TN.,F53094,"Cs. 6"" Italian 12-6pks",1/5/2026,28.,35.00,980.00
PS-INV173271,10719-6,US Foods - Alcoa TN.,F51136,"Cs. Texas Toast 1"" 12lvs",1/5/2026,84.,40.12,"3,370.08"
PS-INV173271,10719-6,US Foods - Alcoa TN.,F51004,"Cs. Rye 5/8"" 8lvs",1/5/2026,8.,42.03,336.24
PS-INV173271,10719-6,US Foods - Alcoa TN.,F53025,Cs. Sesame Challah Kaiser 8-12pk,1/5/2026,308.,39.00,"12,012.00"
PS-INV173271,10719-6,US Foods - Alcoa TN.,F53087,"Cs. 3.5"" Challah Bun 8-12 pk",1/5/2026,28.,36.24,"1,014.72"
PS-INV173271,10719-6,US Foods - Alcoa TN.,F51066,"Cs. Honey Wheat 3/4"" 8lvs",1/5/2026,14.,35.21,492.94
PS-INV173271,10719-6,US Foods - Alcoa TN.,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/5/2026,140.,45.49,"6,368.60"
PS-INV173271,10719-6,US Foods - Alcoa TN.,F530501,"Cs. 4.5"" Challah Kaiser 6-12pk",1/5/2026,28.,37.02,"1,036.56"
PS-INV173271,10719-6,US Foods - Alcoa TN.,F51084,Cs. Wheatberry Hearth,1/5/2026,4.,52.47,209.88
PS-INV173271,10719-6,US Foods - Alcoa TN.,F51024,"Cs. Marble Rye 5/8"" 8lvs",1/5/2026,4.,54.00,216.00
PS-INV173271,10719-6,US Foods - Alcoa TN.,F51034,"Cs. Sour Dough Hearth 5/8"" 8lvs",1/5/2026,8.,43.20,345.60
PS-INV173271,10719-6,US Foods - Alcoa TN.,F51157,"Cs. Challah Hearth 7/8"" 8lvs",1/5/2026,28.,44.15,"1,236.20"
PS-INV173271,10719-6,US Foods - Alcoa TN.,F53028,"Cs. 4"" Sour Dough Bun 8-12pk",1/5/2026,4.,47.40,189.60
PS-INV173271,10719-6,US Foods - Alcoa TN.,F53006,"Cs. 4"" Wheat Bun 8-12pk",1/5/2026,8.,40.22,321.76
PS-INV173271,10719-6,US Foods - Alcoa TN.,F53127,"Cs. 8"" Philly 10-6pks",1/5/2026,56.,42.37,"2,372.72"
PS-INV173271,10719-6,US Foods - Alcoa TN.,F53086,"Cs. 3.5"" Plain Hamburger Bun 8-12pk",1/5/2026,4.,36.24,144.96
PS-INV173271,10719-6,US Foods - Alcoa TN.,F52035,Cs. French Boule 12-2pk,1/5/2026,28.,32.55,911.40
PS-INV173271,10719-6,US Foods - Alcoa TN.,F52032,Cs. 8oz Sour Dough Boule 12-2pk,1/5/2026,28.,41.25,"1,155.00"
PS-INV173271,10719-6,US Foods - Alcoa TN.,F53024,"Cs. 4"" Challah Kaiser 8-12pk",1/5/2026,28.,40.22,"1,126.16"
PS-INV173549,10138-5,Costco PriceSmart Export,F53106,Cs. Large Hot Dog 12-6pk,1/5/2026,960.,26.25,"25,200.00"
PS-INV174655,12707,PFG Florence SC,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/5/2026,168.,46.60,"7,828.80"
PS-INV174928,12358,PFG Powell GA,F51024,"Cs. Marble Rye 5/8"" 8lvs",1/5/2026,48.,45.00,"2,160.00"
PS-INV174928,12358,PFG Powell GA,F53001,"Cs. 4"" Brioche Bun 8-12pk",1/5/2026,80.,42.60,"3,408.00"
PS-INV174928,12358,PFG Powell GA,F53003,"Cs. 4"" Unseeded Challah Bun 8-12pk",1/5/2026,80.,40.00,"3,200.00"
